Nombre,Latitud,Longitud,Municipio,Departamento,Provincia
LA ESCONDIDA,"-27,107324847","-59,44753251",LA ESCONDIDA,GENERAL DONOVAN,CHACO
KILOMETRO 548,"-27,09668174","-59,421151046",LA ESCONDIDA,GENERAL DONOVAN,CHACO
COLONIA EL CACIQUE LLORON,"-27,048592084","-59,437435934",LA ESCONDIDA,GENERAL DONOVAN,CHACO
LEGUA 41,"-27,08111444","-59,385775809",LA ESCONDIDA,GENERAL DONOVAN,CHACO
LAS CHACRAS,"-30,285767867","-64,378978077",QUILINO,ISCHILIN,CÓRDOBA
LOS CADILLOS,"-30,101866886","-64,451999841",QUILINO,ISCHILIN,CÓRDOBA
VILLA QUILINO,"-30,210115748","-64,477567416",QUILINO,ISCHILIN,CÓRDOBA
QUILINO,"-30,215955221","-64,502977704",QUILINO,ISCHILIN,CÓRDOBA
CARRENLEUFU,"-43,585688544","-71,700902024",CARRENLEUFU,LANGUIÑEO,CHUBUT
LAGO BLANCO,"-45,946859419","-71,264110664",LAGO BLANCO,RIO SENGUER,CHUBUT
VILLA SANTOS TESEI,"-34,612394445","-58,653810369",HURLINGHAM,HURLINGHAM,BUENOS AIRES
HURLINGHAM,"-34,593093136","-58,635720951",HURLINGHAM,HURLINGHAM,BUENOS AIRES
WILLIAM C. MORRIS,"-34,581562283","-58,658300537",HURLINGHAM,HURLINGHAM,BUENOS AIRES
ORATORIO MORANTE,"-33,433502197","-60,402519226",GODOY,CONSTITUCION,SANTA FE
GODOY,"-33,369709873","-60,509413022",GODOY,CONSTITUCION,SANTA FE
CAMPO LA VICTORIA,"-33,406167903","-60,477660698",GODOY,CONSTITUCION,SANTA FE
VILLA MERCEDES,"-33,677369777","-65,473143366",VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
LA RIVERA,"-33,694173663","-65,503894189",VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
DIQUE VULPIANI,"-33,661546991","-65,535726893",VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
LA RIBERA,"-33,691812234","-65,50073106",VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
SAN FRANCISCO DE ALFARCITO,"-23,275302523","-65,946380462",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
SANTA ANA DE LA PUNA,"-23,1466006","-66,032103332",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
TUSAQUILLAS,"-23,170945539","-65,973242795",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
SANTA ANA,"-23,147424698","-66,031219482",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
TRANCAS,"-23,048007965","-66,13256073",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
RINCONADILLAS,"-23,288664351","-65,941233536",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
SALADO,"-23,048610687","-66,092857361",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
ABDON CASTRO TOLAY,"-23,338641103","-66,090143228",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
SANTUARIO DE TRES POZOS,"-23,515506956","-65,947612869",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
TOLARITO,"-23,29167366","-66,081336975",ABDON CASTRO TOLAY,COCHINOCA,JUJUY
28 DE JULIO,"-43,38097713","-65,838687743",28 DE JULIO,GAIMAN,CHUBUT
NAUPA HUEN,"-39,828284593","-69,508972688",NAUPA HUEN,EL CUY,RÍO NEGRO
CHILCA JULIANA,"-28,807483356","-63,486777342",CHILCA JULIANA,SALAVINA,SANTIAGO DEL ESTERO
EL MANZANO,"-36,107008","-69,761199",MALARGUE,MALARGUE,MENDOZA
LAS CHACRAS,"-36,188674927","-69,664405823",MALARGUE,MALARGUE,MENDOZA
MALARGUE,"-35,477010712","-69,588649187",MALARGUE,MALARGUE,MENDOZA
LA JUNTA,"-35,267583702","-69,500300167",MALARGUE,MALARGUE,MENDOZA
LUANCO,"-37,185493469","-68,392372131",MALARGUE,MALARGUE,MENDOZA
LAS LEÑAS,"-35,153965078","-70,081791099",MALARGUE,MALARGUE,MENDOZA
EL CHACAY,"-35,357404049","-69,582385228",MALARGUE,MALARGUE,MENDOZA
AGUA ESCONDIDA,"-36,153239036","-68,304842854",MALARGUE,MALARGUE,MENDOZA
MINACAR,"-35,869655609","-70,069244385",MALARGUE,MALARGUE,MENDOZA
EL INFIERNILLO,"-36,757041931","-69,184188843",MALARGUE,MALARGUE,MENDOZA
LOS CARRIZALES,"-36,700206757","-68,372016907",MALARGUE,MALARGUE,MENDOZA
EL VATRO,"-36,702293396","-69,942199707",MALARGUE,MALARGUE,MENDOZA
RINCON CHICO,"-37,137336731","-69,583343506",MALARGUE,MALARGUE,MENDOZA
LA SALINILLA,"-36,280342102","-68,570884705",MALARGUE,MALARGUE,MENDOZA
EL ALAMBRADO,"-36,26989321","-69,85749485",MALARGUE,MALARGUE,MENDOZA
CALMUCO,"-36,479148865","-69,826599121",MALARGUE,MALARGUE,MENDOZA
LLANO BLANCO,"-35,916114807","-69,768753052",MALARGUE,MALARGUE,MENDOZA
PATA MORA,"-37,201000214","-69,107246399",MALARGUE,MALARGUE,MENDOZA
RIO GRANDE,"-35,870882529","-69,806678072",MALARGUE,MALARGUE,MENDOZA
LOS CORRALES,"-36,149475098","-68,346611023",MALARGUE,MALARGUE,MENDOZA
EL CARAPACHO,"-35,813093855","-69,190692234",MALARGUE,MALARGUE,MENDOZA
LA VALENCIANA,"-35,546673212","-69,901221615",MALARGUE,MALARGUE,MENDOZA
LOS MOLLES,"-35,1541609","-69,95182839",MALARGUE,MALARGUE,MENDOZA
MOGOTES ASPEROS,"-31,18595404","-65,247435865",ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
